national_team_name,player_1_name,player_1_value,player_2_name,player_2_value,player_3_name,player_3_value,player_4_name,player_4_value,player_5_name,player_5_value,player_6_name,player_6_value,player_7_name,player_7_value,player_8_name,player_8_value,player_9_name,player_9_value,player_10_name,player_10_value,player_11_name,player_11_value,player_12_name,player_12_value,player_13_name,player_13_value,player_14_name,player_14_value,player_15_name,player_15_value,player_16_name,player_16_value,player_17_name,player_17_value,player_18_name,player_18_value,player_19_name,player_19_value,player_20_name,player_20_value,player_21_name,player_21_value,player_22_name,player_22_value,player_23_name,player_23_value,player_24_name,player_24_value,player_25_name,player_25_value,player_26_name,player_26_value
England - Club profile  | Transfermarkt,Aaron Ramsdale,€30.00m,Jordan Pickford,€28.00m,Nick Pope,€18.00m,Ben White,€45.00m,John Stones,€30.00m,Harry Maguire,€30.00m,Eric Dier,€30.00m,Conor Coady,€18.00m,Luke Shaw,€28.00m,Trent Alexander-Arnold,€70.00m,Kyle Walker,€15.00m,Kieran Trippier,€13.00m,Declan Rice,€80.00m,Kalvin Phillips,€45.00m,Phil Foden,€110.00m,Jude Bellingham,€100.00m,Conor Gallagher,€32.00m,Jordan Henderson,€15.00m,Bukayo Saka,€90.00m,Mason Mount,€75.00m,James Maddison,€55.00m,Jack Grealish,€70.00m,Raheem Sterling,€70.00m,Marcus Rashford,€55.00m,Harry Kane,€90.00m,Callum Wilson,€18.00m
Uruguay - Club profile  | Transfermarkt,Sergio Rochet,€4.00m,Fernando Muslera,€1.70m,Sebastián Sosa,€800k,Ronald Araújo,€60.00m,José María Giménez,€40.00m,Sebastián Coates,€6.00m,Diego Godín,€700k,Martín Cáceres,€500k,Mathías Olivera,€15.00m,Matías Viña,€6.00m,Guillermo Varela,€2.00m,José Luis Rodríguez,€2.00m,Manuel Ugarte,€18.00m,Lucas Torreira,€15.00m,Federico Valverde,€100.00m,Rodrigo Bentancur,€40.00m,Nicolás de la Cruz,€13.00m,Matías Vecino,€4.50m,Giorgian de Arrascaeta,€19.00m,Facundo Torres,€8.00m,Agustín Canobbio,€4.00m,Facundo Pellistri,€3.00m,Darwin Núñez,€70.00m,Maxi Gómez,€7.50m,Edinson Cavani,€5.00m,Luis Suárez,€4.00m
Belgium - Club profile  | Transfermarkt,Thibaut Courtois,€60.00m,Koen Casteels,€8.00m,Simon Mignolet,€5.00m,Arthur Theate,€20.00m,Wout Faes,€20.00m,Zeno Debast,€8.00m,Toby Alderweireld,€4.00m,Jan Vertonghen,€1.80m,Timothy Castagne,€28.00m,Thomas Meunier,€6.50m,Amadou Onana,€35.00m,Leander Dendoncker,€22.00m,Axel Witsel,€5.00m,Youri Tielemans,€40.00m,Kevin De Bruyne,€80.00m,Charles De Ketelaere,€30.00m,Hans Vanaken,€15.00m,Yannick Carrasco,€30.00m,Leandro Trossard,€30.00m,Thorgan Hazard,€9.00m,Eden Hazard,€7.50m,Jérémy Doku,€18.00m,Romelu Lukaku,€55.00m,Loïs Openda,€12.00m,Michy Batshuayi,€10.00m,Dries Mertens,€3.40m
Poland - Club profile  | Transfermarkt,Wojciech Szczesny,€13.00m,Kamil Grabara,€5.00m,Lukasz Skorupski,€3.00m,Jan Bednarek,€18.00m,Jakub Kiwior,€6.00m,Mateusz Wieteska,€3.00m,Kamil Glik,€800k,Artur Jedrzejczyk,€300k,Matty Cash,€22.00m,Robert Gumny,€3.50m,Bartosz Bereszynski,€3.00m,Grzegorz Krychowiak,€6.00m,Krystian Bielik,€3.00m,Szymon Zurkowski,€5.80m,Damian Szymanski,€2.00m,Przemyslaw Frankowski,€7.00m,Nicola Zalewski,€15.00m,Piotr Zielinski,€40.00m,Sebastian Szymanski,€14.00m,Jakub Kaminski,€10.00m,Kamil Grosicki,€700k,Michal Skoras,€3.50m,Robert Lewandowski,€45.00m,Krzysztof Piatek,€11.00m,Arkadiusz Milik,€10.00m,Karol Swiderski,€5.00m
Morocco - Club profile  | Transfermarkt,Bono,€15.00m,Ahmed Reda Tagnaouti,€1.80m,Munir,€1.20m,Nayef Aguerd,€25.00m,Romain Saïss,€6.50m,Achraf Dari,€2.50m,Jawad El Yamiq,€1.20m,Badr Benoun,€1.00m,Yahia Attiyat Allah,€1.50m,Achraf Hakimi,€65.00m,Noussair Mazraoui,€25.00m,Sofyan Amrabat,€10.00m,Yahya Jabrane,€1.90m,Azzedine Ounahi,€3.50m,Hakim Ziyech,€17.00m,Ilias Chair,€10.00m,Selim Amallah,€4.50m,Bilal El Khannouss,€4.50m,Abdelhamid Sabiri,€3.00m,Ez Abde,€8.00m,Sofiane Boufal,€8.00m,Anass Zaroury,€4.00m,Zakaria Aboukhlal,€3.50m,Youssef En-Nesyri,€12.00m,Abderrazak Hamdallah,€3.00m,Walid Cheddira,€2.50m
South Korea - Club profile  | Transfermarkt,Hyeon-woo Jo,€1.30m,Bum-keun Song,€1.10m,Seung-gyu Kim,€900k,Min-jae Kim,€35.00m,Kyung-won Kwon,€800k,Yu-min Cho,€700k,Young-gwon Kim,€600k,Jin-su Kim,€575k,Chul Hong,€500k,Moon-hwan Kim,€950k,Tae-hwan Kim,€900k,Jong-gyu Yoon,€650k,Jun-ho Son,€3.50m,Woo-young Jung,€600k,In-beom Hwang,€3.50m,Seung-ho Paik,€1.00m,Kang-in Lee,€12.00m,Jae-sung Lee,€3.00m,Heung-min Son,€70.00m,Min-kyu Song,€1.20m,Sang-ho Na,€900k,Chang-hoon Kwon,€900k,Woo-yeong Jeong,€5.50m,Hee-chan Hwang,€12.00m,Ui-jo Hwang,€5.00m,Gue-sung Cho,€1.40m
Switzerland - Club profile  | Transfermarkt,Gregor Kobel,€25.00m,Jonas Omlin,€7.00m,Yann Sommer,€5.00m,Philipp Köhn,€4.00m,Manuel Akanji,€30.00m,Nico Elvedi,€20.00m,Fabian Schär,€10.00m,Eray Cömert,€4.00m,Ricardo Rodríguez,€3.50m,Silvan Widmer,€5.00m,Denis Zakaria,€20.00m,Ardon Jashari,€2.50m,Fabian Frei,€500k,Granit Xhaka,€28.00m,Djibril Sow,€22.00m,Remo Freuler,€13.00m,Michel Aebischer,€3.50m,Edimilson Fernandes,€3.00m,Fabian Rieder,€10.00m,Rubén Vargas,€6.00m,Xherdan Shaqiri,€4.00m,Christian Fassnacht,€3.00m,Renato Steffen,€1.00m,Noah Okafor,€25.00m,Breel Embolo,€20.00m,Haris Seferovic,€6.00m
Croatia - Club profile  | Transfermarkt,Dominik Livakovic,€8.50m,Ivica Ivusic,€5.00m,Ivo Grbic,€3.50m,Josko Gvardiol,€60.00m,Josip Sutalo,€18.00m,Martin Erlic,€5.50m,Dejan Lovren,€3.50m,Domagoj Vida,€2.00m,Borna Sosa,€20.00m,Borna Barisic,€6.50m,Josip Stanisic,€8.00m,Josip Juranovic,€6.50m,Marcelo Brozovic,€35.00m,Kristijan Jakic,€9.00m,Mateo Kovacic,€40.00m,Luka Modric,€10.00m,Ivan Perisic,€10.00m,Mario Pasalic,€25.00m,Lovro Majer,€22.00m,Nikola Vlasic,€20.00m,Luka Sucic,€20.00m,Mislav Orsic,€10.00m,Andrej Kramaric,€9.00m,Marko Livaja,€8.00m,Bruno Petkovic,€6.00m,Ante Budimir,€6.00m
Argentina - Club profile  | Transfermarkt,Emiliano Martínez,€25.00m,Gerónimo Rulli,€10.00m,Franco Armani,€3.20m,Cristian Romero,€55.00m,Lisandro Martínez,€50.00m,Germán Pezzella,€5.00m,Nicolás Otamendi,€3.00m,Marcos Acuña,€14.00m,Nicolás Tagliafico,€9.00m,Juan Foyth,€25.00m,Nahuel Molina,€18.00m,Gonzalo Montiel,€12.00m,Guido Rodríguez,€28.00m,Leandro Paredes,€15.00m,Rodrigo de Paul,€35.00m,Enzo Fernández,€35.00m,Alexis Mac Allister,€32.00m,Exequiel Palacios,€15.00m,Thiago Almada,€15.00m,Papu Gómez,€4.00m,Lionel Messi,€50.00m,Ángel Correa,€40.00m,Ángel Di María,€10.00m,Paulo Dybala,€30.00m,Lautaro Martínez,€75.00m,Julián Álvarez,€32.00m
Qatar - Club profile  | Transfermarkt,Meshaal Barsham,€450k,Saad Al-Sheeb,€200k,Yousef Hassan,€150k,Bassam Al-Rawi,€500k,Tarek Salman,€400k,Boualem Khoukhi,€400k,Pedro Miguel,€325k,Jassem Gaber Abdulsallam,€175k,Abdelkarim Hassan,€750k,Homam Ahmed,€500k,Musab Khoder,€250k,Karim Boudiaf,€450k,Mohammed Waad,€400k,Assim Madibo,€300k,Salem Al-Hajri,€250k,Abdulaziz Hatem,€500k,Mustafa Mashaal,€150k,Ali Asad,€200k,Akram Afif,€4.00m,Khalid Muneer Mazeed,€250k,Hasan Al-Haydos,€900k,Naif Al-Hadhrami,€275k,Ismaeel Mohammed,€225k,Almoez Ali,€2.00m,Ahmed Alaaeldin,€600k,Mohammed Muntari,€300k
